year,A1,A2,A3
,label A1,label A2,label A3
1987,18,2560,111
1988,4,2645,51
1989,0,2522,31
1990,12,2189,89
1991,8,2428,99
1992,8,2595,76
1993,20,2383,148
1994,9,2420,99
1995,31,2411,170
1996,6,2506,74
1997,13,2314,103
1998,8,2271,59
1999,1,2373,34
2000,9,2498,77
2001,15,2448,117
2002,15,2209,93
2003,4,2390,28
2004,6,2451,67
2005,5,2559,48
2006,18,2376,95
2007,11,2454,71
2008,6,2608,50
2009,5,2726,40
2010,13,2329,82
2011,5,2511,56
2012,14,2540,107
2013,19,2406,127
2014,9,2499,80
2015,14,2577,126
2016,9,2580,74
2016
2017,24,2285,172
2018,19,2439,142
2019,37,2301,232
2020,16,2216,122
2021,12,2330,146
2022,21,2252,120
2023,26,2272,214
2024,10,2354,124
2025,16,2342,118
2026,29,2213,197
2027,25,2123,222
2028,15,2341,103
2029,15,2369,146
2030,7,2168,101
2031,29,2257,164
2032,9,1992,89
2033,20,2190,121
2034,16,2243,148
2035,9,2285,82
2036,10,2220,92
2037,18,2394,117
2038,24,2078,165
2039,34,2508,221
2040,26,2122,157
2041,26,2147,202
2042,6,2069,89
2043,16,2275,151
2044,26,2250,189
2045,38,2184,216
2046,36,2218,219
