year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,155,-30,76,226
1988,275,-105,136,205
1989,99,-98,-204,202
1990,182,-125,-171,142
1991,107,-24,-85,76
1992,465,26,413,434
1993,361,222,134,422
1994,477,72,137,525
1995,538,-32,17,405
1996,265,96,3,560
1997,468,129,116,403
1998,204,48,83,218
1999,47,-19,-68,218
2000,133,-93,65,344
2001,211,12,158,431
2002,622,305,122,505
2003,277,46,82,376
2004,274,-62,117,247
2005,124,-64,-95,202
2006,106,-84,-15,346
2007,196,-41,23,134
2008,599,27,312,541
2009,121,-44,100,268
2010,132,-104,51,157
2011,214,74,230,540
2012,217,157,279,478
2013,196,38,65,349
2014,308,-14,-70,249
2015,245,-42,-17,423
2016,272,-37,34,118
