year,annual-estival-days
1987,0
1988,0
1989,9
1990,7
1991,7
1992,1
1993,0
1994,0
1995,6
1996,0
1997,0
1998,0
1999,3
2000,1
2001,0
2002,0
2003,7
2004,0
2005,2
2006,5
2007,0
2008,0
2009,4
2010,0
2011,0
2012,5
2013,3
2014,3
2015,1
2016,1
