year,F1,F3,M4
,label F1,label F3,label M4
1987,42,136,2
1988,71,143,1
1989,68,150,0
1990,54,133,1
1991,69,149,1
1992,78,149,2
1993,59,151,2
1994,75,150,0
1995,56,141,0
1996,72,153,0
1997,69,143,2
1998,72,145,0
1999,66,136,0
2000,64,135,0
2001,62,150,0
2002,70,147,0
2003,75,157,1
2004,74,154,0
2005,67,148,0
2006,45,144,1
2007,56,142,0
2008,44,139,1
2009,55,152,1
2010,59,151,1
2011,77,146,0
2012,63,147,1
2013,46,141,1
2014,71,144,0
2015,70,156,0
2016,66,148,0
2016
2017,41,138,1
2018,40,155,1
2019,48,139,0
2020,41,137,0
2021,56,144,1
2022,52,138,0
2023,35,139,1
2024,46,132,0
2025,50,140,1
2026,49,143,0
2027,54,145,2
2028,55,137,0
2029,57,145,0
2030,43,138,2
2031,58,147,0
2032,62,142,0
2033,38,151,1
2034,49,141,1
2035,50,142,2
2036,51,137,2
2037,55,146,0
2038,59,147,2
2039,64,148,0
2040,70,143,0
2041,61,144,1
2042,57,146,0
2043,52,138,0
2044,52,140,1
2045,72,141,2
2046,58,139,0
