year,annual-precipitations
1987,968
1988,1095
1989,666
1990,684
1991,668
1992,1873
1993,1629
1994,1768
1995,1534
1996,1477
1997,1660
1998,1086
1999,747
2000,997
2001,1304
2002,2030
2003,1308
2004,1113
2005,726
2006,918
2007,847
2008,2007
2009,971
2010,774
2011,1577
2012,1630
2013,1190
2014,1019
2015,1144
2016,919
