year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2,label C3,label C12,label M1,label M2,label M8,label Co2,label Co3
1987,0,3,-24,5,0,-15,86,16,200
1988,0,2,-59,3,0,-84,85,25,126
1989,1,2,-29,4,0,-75,83,8,113
1990,0,1,-104,5,0,-117,68,18,167
1991,1,3,-57,4,0,-128,81,22,154
1992,0,2,-28,3,0,-95,84,12,144
1993,0,7,-90,2,0,-193,88,23,122
1994,1,2,-40,2,0,-74,85,22,154
1995,0,0,21,0,0,45,80,10,192
1996,0,0,-88,3,0,-168,83,24,171
1997,0,1,-105,2,0,-189,82,24,162
1998,0,0,-28,3,0,-86,81,31,159
1999,1,0,-65,3,0,-154,86,28,120
2000,2,0,-91,1,0,-211,81,15,133
2001,0,0,-48,3,0,-45,85,23,142
2002,0,0,-18,2,0,-93,82,15,105
2003,2,6,-62,2,0,-102,80,13,133
2004,0,3,-29,4,0,-16,84,15,173
2005,0,1,-1,3,0,9,88,20,183
2006,0,3,26,1,0,-9,90,9,95
2007,0,2,-18,2,0,-66,86,8,136
2008,0,0,21,1,0,-46,90,17,146
2009,0,0,44,1,0,68,86,15,192
2010,0,2,-86,4,0,-73,89,18,147
2011,1,5,-27,2,0,-28,84,10,174
2012,0,2,-24,3,0,-87,80,14,124
2013,0,0,-44,2,0,-21,82,9,186
2014,0,2,-56,1,0,-58,85,19,158
2015,2,3,30,0,0,18,85,30,207
2016,2,3,28,4,0,-38,84,26,136
2016
2017,1,2,-54,3,0,-79,81,12,228
2018,1,5,-58,0,0,-61,77,8,213
2019,1,1,-63,3,0,-29,85,19,165
2020,0,5,-28,3,0,-6,80,15,178
2021,1,3,2,4,0,-113,80,20,193
2022,1,0,11,2,0,33,79,10,269
2023,1,1,-103,4,0,-160,81,18,83
2024,1,0,-55,3,0,-161,75,9,155
2025,0,0,-43,2,0,-53,82,10,246
2026,2,2,-120,3,0,-180,74,16,167
2027,3,1,-148,7,0,-228,76,3,256
2028,0,2,38,3,0,45,82,13,250
2029,0,2,-85,3,0,-134,81,17,179
2030,0,4,-78,5,0,-141,75,29,214
2031,0,0,-35,3,0,-59,74,13,164
2032,0,0,18,4,0,-35,86,1,144
2033,1,4,-65,4,0,-75,83,12,230
2034,2,0,-24,4,0,-4,75,13,242
2035,0,1,-67,7,0,-161,76,4,142
2036,1,0,-13,4,0,-121,85,12,169
2037,2,1,-57,1,0,-23,82,7,152
2038,2,3,-37,2,0,-14,81,9,145
2039,1,3,-39,4,0,-10,83,3,192
2040,1,0,-13,3,0,20,77,7,133
2041,2,5,-46,3,0,-55,85,12,177
2042,0,0,-4,3,0,39,80,18,217
2043,6,0,-16,2,0,-21,74,14,233
2044,1,0,-56,5,0,-116,80,7,108
2045,2,1,-49,2,0,-51,75,3,242
2046,1,1,-48,4,0,-64,83,11,120
