year,F1,F3,M4
,label F1,label F3,label M4
1987,22,123,9
1988,23,119,9
1989,23,121,8
1990,22,133,7
1991,37,131,6
1992,28,133,5
1993,42,133,8
1994,32,123,6
1995,21,139,5
1996,26,119,10
1997,36,128,10
1998,38,120,5
1999,45,126,7
2000,45,123,6
2001,21,124,10
2002,50,132,7
2003,33,122,6
2004,42,126,7
2005,37,134,7
2006,30,129,6
2007,32,127,6
2008,44,123,7
2009,26,138,7
2010,35,129,6
2011,22,127,8
2012,36,132,6
2013,29,135,8
2014,43,125,8
2015,26,120,7
2016,34,130,5
2016
2017,24,129,8
2018,39,114,7
2019,27,127,4
2020,22,114,7
2021,32,121,7
2022,26,114,9
2023,25,116,8
2024,27,134,7
2025,34,135,7
2026,15,122,9
2027,32,127,8
2028,24,120,10
2029,38,117,9
2030,22,123,9
2031,23,127,10
2032,24,119,7
2033,19,131,10
2034,33,117,8
2035,16,125,8
2036,24,124,6
2037,19,136,6
2038,31,123,9
2039,24,125,7
2040,34,125,8
2041,27,127,6
2042,22,133,9
2043,26,126,8
2044,23,127,7
2045,22,127,8
2046,27,122,9

min,,70
max,,140
steps,,11
decimal
