year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2,label C3,label C12,label M1,label M2,label M8,label Co2,label Co3
1987,6,0,-223,10,0,-495,60,11,53
1988,11,0,-206,11,0,-482,60,1,43
1989,3,0,-218,9,0,-478,53,5,84
1990,11,0,-228,10,0,-496,51,1,29
1991,11,0,-240,10,0,-534,67,5,29
1992,11,0,-218,8,0,-487,62,5,130
1993,13,1,-205,11,0,-503,49,1,26
1994,15,0,-203,10,0,-521,60,3,85
1995,8,0,-224,6,0,-486,66,4,36
1996,2,0,-272,9,0,-576,69,24,171
1997,9,0,-259,9,0,-557,62,6,82
1998,5,0,-174,9,0,-433,72,12,91
1999,12,0,-245,10,0,-544,63,6,124
2000,9,0,-229,9,0,-543,62,8,91
2001,16,1,-212,10,0,-474,54,15,122
2002,17,0,-242,6,0,-509,70,2,81
2003,13,0,-176,8,0,-443,61,5,70
2004,5,0,-162,9,0,-438,70,13,31
2005,7,0,-173,8,0,-401,71,9,41
2006,10,0,-239,9,0,-485,60,13,18
2007,3,0,-228,6,0,-487,57,3,54
2008,1,0,-175,9,0,-454,64,5,70
2009,14,0,-170,9,0,-457,62,13,61
2010,9,0,-187,7,0,-467,69,8,40
2011,2,0,-196,8,0,-462,71,12,80
2012,12,0,-162,8,0,-438,67,0,84
2013,11,0,-192,8,0,-460,60,3,92
2014,12,0,-215,9,0,-489,50,1,47
2015,12,0,-238,10,0,-495,52,1,74
2016,2,0,-200,7,0,-446,69,10,61
2016
2017,11,0,-166,6,0,-403,53,2,15
2018,14,0,-93,7,0,-369,63,7,41
2019,5,0,-60,9,0,-242,76,1,36
2020,16,0,-199,7,1,-476,71,0,6
2021,21,0,-230,8,0,-548,57,0,180
2022,17,0,-211,6,1,-504,59,1,48
2023,8,1,-221,10,0,-515,57,1,86
2024,17,0,-122,7,0,-466,55,0,31
2025,3,4,-130,10,0,-364,56,0,47
2026,2,1,-245,7,0,-523,60,2,107
2027,6,0,-274,8,0,-504,54,1,102
2028,16,0,-157,8,0,-437,49,12,102
2029,15,0,-191,6,0,-496,60,0,0
2030,10,0,-261,10,1,-591,64,0,20
2031,16,0,-209,8,0,-486,60,6,37
2032,19,0,-107,8,0,-362,54,0,36
2033,8,0,-225,9,0,-477,67,9,66
2034,10,0,-238,8,0,-406,64,0,89
2035,13,0,-216,8,0,-468,60,0,26
2036,11,0,-165,6,1,-400,65,0,35
2037,14,0,-189,8,0,-424,71,4,96
2038,17,0,-211,8,0,-489,47,11,210
2039,17,0,-174,9,0,-432,62,3,76
2040,11,0,-103,10,0,-360,74,4,43
2041,1,0,-193,5,0,-365,51,0,37
2042,12,0,-156,7,0,-437,64,1,56
2043,21,0,-258,7,0,-566,53,3,33
2044,22,1,-138,8,0,-430,59,4,69
2045,4,0,-179,7,0,-457,66,2,31
2046,18,0,-266,10,2,-551,56,0,77
