year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,216,136,50,383
1988,180,280,52,149
1989,36,98,271,146
1990,76,126,21,335
1991,152,266,255,253
1992,237,197,140,421
1993,178,61,176,613
1994,91,198,64,421
1995,43,243,103,199
1996,217,145,90,269
1997,42,110,9,180
1998,89,108,63,131
1999,77,49,88,229
2000,124,171,43,318
2001,102,61,65,171
2002,33,85,153,220
2003,63,35,48,167
2004,73,107,30,233
2005,119,113,66,234
2006,107,51,76,49
2007,46,40,32,135
2008,72,134,47,297
2009,128,212,41,222
2010,222,98,30,308
2011,157,39,26,56
2012,77,178,104,135
2013,296,66,29,227
2014,243,67,12,118
2015,143,21,25,143
2016,147,45,17,185
