year,annual-hydric-deficit
1987,-341
1988,-491
1989,-621
1990,-600
1991,-229
1992,-210
1993,-125
1994,-436
1995,-618
1996,-397
1997,-847
1998,-816
1999,-773
2000,-517
2001,-861
2002,-657
2003,-971
2004,-723
2005,-622
2006,-924
2007,-998
2008,-608
2009,-604
2010,-499
2011,-931
2012,-736
2013,-615
2014,-797
2015,-942
2016,-910
