year,F1,F3,M4
,label F1,label F3,label M4-LCF
1987,72,124,2
1988,77,123,1
1989,81,134,2
1990,61,117,3
1991,80,130,1
1992,82,127,2
1993,59,121,1
1994,83,134,1
1995,72,123,1
1996,77,125,2
1997,74,128,1
1998,77,132,2
1999,83,135,1
2000,80,127,0
2001,88,132,2
2002,80,127,3
2003,79,127,2
2004,83,134,2
2005,62,120,3
2006,79,137,2
2007,71,121,1
2008,59,120,2
2009,79,130,1
2010,76,122,2
2011,59,107,3
2012,48,116,2
2013,87,130,1
2014,62,118,1
2015,71,121,1
2016,75,128,2
2016
2017,76,128,2
2018,67,114,1
2019,60,123,1
2020,67,116,2
2021,61,123,2
2022,65,133,3
2023,65,112,3
2024,84,128,2
2025,56,114,2
2026,56,116,1
2027,84,132,4
2028,46,134,0
2029,46,117,2
2030,64,124,1
2031,56,117,1
2032,75,127,1
2033,59,121,2
2034,84,123,0
2035,78,130,3
2036,97,132,3
2037,69,122,1
2038,58,107,2
2039,55,127,1
2040,58,110,3
2041,47,117,3
2042,38,105,1
2043,73,131,1
2044,76,121,2
2045,67,120,1
2046,68,124,2
