year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,38,-117,-289,21
1988,73,-214,-175,-2
1989,-28,-69,-235,55
1990,-87,-329,-300,1
1991,-12,-174,-187,78
1992,-68,-243,-360,64
1993,-49,-305,-313,43
1994,-16,-198,-297,-17
1995,5,-87,-104,49
1996,29,-183,-72,22
1997,-58,-194,-243,18
1998,-71,-137,-17,73
1999,0,-98,-111,121
2000,-35,-311,-275,-31
2001,24,-186,-123,-25
2002,-78,-259,-197,28
2003,61,-362,-331,47
2004,47,-138,-99,55
2005,23,-159,51,39
2006,56,-80,-212,-35
2007,-12,-295,-241,80
2008,-53,-155,-229,20
2009,25,-229,-322,154
2010,47,9,-68,74
2011,-24,-300,-263,-22
2012,-77,-255,-355,35
2013,85,-194,-331,-11
2014,-65,-189,-33,107
2015,-4,-263,-275,48
2016,54,-162,-193,31
