year,annual-hydric-deficit
1987,-347
1988,-319
1989,-277
1990,-716
1991,-295
1992,-607
1993,-623
1994,-528
1995,-137
1996,-205
1997,-478
1998,-152
1999,-88
2000,-652
2001,-310
2002,-505
2003,-584
2004,-134
2005,-46
2006,-272
2007,-469
2008,-417
2009,-372
2010,62
2011,-609
2012,-652
2013,-452
2014,-179
2015,-494
2016,-270
