year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,112,219,87,105
1988,159,124,188,75
1989,66,255,97,144
1990,33,29,77,84
1991,72,151,168,155
1992,38,152,69,148
1993,34,94,75,130
1994,90,161,122,68
1995,100,236,275,126
1996,89,169,229,104
1997,36,147,100,110
1998,51,187,336,141
1999,93,232,252,199
2000,61,92,113,71
2001,122,161,221,52
2002,39,118,179,114
2003,133,46,60,123
2004,136,202,265,131
2005,106,196,374,110
2006,130,250,151,58
2007,107,128,171,159
2008,61,197,145,105
2009,112,176,95,235
2010,135,319,267,147
2011,59,83,128,61
2012,38,120,83,115
2013,167,154,82,88
2014,56,169,313,189
2015,103,110,129,115
2016,150,191,171,104
