year,A1,A2,A3
,label A1,label A2,label A3
1987,32,2703,259
1988,27,2919,210
1989,49,2956,353
1990,34,2758,296
1991,43,2944,365
1992,34,2979,254
1993,23,2476,227
1994,37,3090,367
1995,56,2845,366
1996,32,2720,317
1997,31,2978,308
1998,41,2904,314
1999,6,3094,139
2000,64,3061,480
2001,27,3027,216
2002,47,2882,364
2003,58,2892,400
2004,40,3008,323
2005,27,2823,272
2006,47,2988,318
2007,51,2768,347
2008,47,2569,368
2009,43,2906,327
2010,33,2751,271
2011,58,2639,444
2012,40,2585,337
2013,50,2956,367
2014,50,2692,390
2015,46,2801,351
2016,47,2984,335
2016
2017,42,2605,343
2018,65,2376,473
2019,54,2457,363
2020,77,2606,585
2021,41,2448,383
2022,64,2717,430
2023,74,2625,586
2024,62,2696,572
2025,78,2298,591
2026,54,2468,428
2027,70,2855,529
2028,28,2580,242
2029,28,2164,262
2030,52,2475,424
2031,46,2426,297
2032,81,2766,571
2033,50,2545,358
2034,48,2589,372
2035,54,2813,410
2036,57,2843,370
2037,68,2725,450
2038,60,2167,380
2039,60,2724,410
2040,75,2302,526
2041,69,2379,507
2042,45,2146,346
2043,64,2674,463
2044,48,2523,341
2045,73,2699,526
2046,52,2800,379
