year,F1,F3,M4
,label F1,label F3,label M4
1987,56,135,1
1988,72,150,0
1989,67,121,0
1990,59,147,2
1991,50,137,0
1992,60,145,0
1993,75,128,1
1994,65,140,1
1995,60,140,0
1996,75,145,2
1997,80,140,1
1998,71,137,1
1999,69,129,1
2000,84,142,1
2001,63,137,1
2002,78,137,1
2003,73,137,2
2004,84,154,1
2005,53,135,0
2006,59,127,2
2007,73,142,2
2008,66,134,0
2009,61,142,1
2010,61,143,1
2011,53,132,1
2012,87,142,0
2013,65,133,1
2014,66,137,2
2015,88,156,1
2016,71,143,0
2016
2017,95,151,0
2018,85,150,2
2019,71,145,1
2020,78,134,2
2021,63,137,3
2022,59,138,0
2023,70,137,2
2024,69,137,1
2025,47,129,1
2026,63,135,0
2027,69,139,2
2028,38,135,1
2029,59,130,1
2030,55,132,4
2031,63,139,1
2032,80,150,3
2033,66,131,1
2034,57,125,2
2035,64,145,1
2036,61,144,1
2037,44,143,1
2038,79,147,1
2039,60,137,1
2040,61,139,2
2041,74,138,3
2042,74,138,1
2043,72,147,0
2044,64,147,2
2045,45,133,2
2046,71,136,0
