year,A1,A2,A3
,label A1,label A2,label A3
1987,2,2955,25
1988,9,3269,72
1989,8,3003,58
1990,6,3091,40
1991,10,2788,104
1992,2,3128,33
1993,3,2811,28
1994,1,3174,27
1995,8,2757,61
1996,6,3133,74
1997,11,3046,103
1998,0,3164,12
1999,1,2940,25
2000,5,3230,45
2001,2,2923,14
2002,9,2913,61
2003,3,3018,47
2004,6,3390,54
2005,0,2744,27
2006,8,2695,63
2007,14,3200,91
2008,5,2932,49
2009,12,3089,81
2010,10,2957,67
2011,21,2733,144
2012,2,3274,16
2013,3,2990,27
2014,16,3073,117
2015,17,3458,121
2016,3,3258,32
2016
2017,6,3014,55
2018,12,3026,80
2019,13,3077,84
2020,13,2809,90
2021,30,2813,181
2022,18,2769,110
2023,12,2845,87
2024,18,2788,144
2025,27,2396,156
2026,2,2785,65
2027,23,2856,172
2028,26,2748,151
2029,22,2806,191
2030,10,2937,84
2031,9,2627,80
2032,18,2951,131
2033,35,2653,214
2034,20,2684,128
2035,16,2915,112
2036,20,2880,125
2037,15,2795,110
2038,15,2780,110
2039,15,2580,122
2040,18,2735,135
2041,12,3041,106
2042,13,2822,115
2043,11,2991,89
2044,2,2851,36
2045,21,2647,155
2046,10,2692,86
