year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,109,-21,7,155
1988,232,-137,-119,133
1989,52,-112,-117,138
1990,96,-104,-141,173
1991,35,-125,-231,127
1992,54,-136,-32,163
1993,49,-127,-6,222
1994,105,-89,-111,93
1995,277,-128,-53,62
1996,4,-195,-165,153
1997,64,27,-192,155
1998,43,-30,-94,243
1999,101,-124,-108,188
2000,93,-78,163,172
2001,252,-96,25,129
2002,133,-154,-70,212
2003,83,-107,-186,99
2004,50,-118,-55,90
2005,68,-162,-89,80
2006,84,-117,-118,134
2007,138,-59,-40,89
2008,142,-156,-47,80
2009,83,-94,-132,183
2010,54,-153,-85,119
2011,10,-218,-140,97
2012,4,-22,-152,176
2013,42,7,-130,180
2014,22,-153,-7,192
2015,75,-198,-152,60
2016,144,57,-204,61
