year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,174,225,258,225
1988,309,150,158,193
1989,133,189,177,219
1990,198,175,161,241
1991,119,129,108,186
1992,131,168,244,223
1993,130,174,267,282
1994,186,197,205,169
1995,362,136,250,120
1996,75,90,107,206
1997,137,290,90,217
1998,121,229,154,290
1999,167,134,169,244
2000,158,194,409,242
2001,325,182,301,195
2002,224,134,194,276
2003,181,208,166,166
2004,133,161,231,145
2005,140,136,191,149
2006,151,163,199,205
2007,223,257,224,155
2008,232,140,231,136
2009,156,207,185,255
2010,135,145,218,188
2011,102,128,142,172
2012,98,250,150,245
2013,110,262,188,248
2014,122,155,265,249
2015,150,116,184,126
2016,222,316,97,118
