year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-0.5,12.0,16.7,6.3
1988,4.0,13.5,16.3,6.5
1989,4.7,13.1,17.6,6.3
1990,5.8,12.9,16.8,6.0
1991,3.0,11.0,19.1,4.7
1992,4.0,13.4,17.3,5.6
1993,3.1,14.2,15.6,5.1
1994,4.3,12.8,18.1,8.0
1995,4.1,12.5,17.8,6.3
1996,1.3,12.4,15.7,4.8
1997,3.8,12.4,17.9,6.1
1998,5.0,13.4,16.3,4.8
1999,4.2,13.4,18.6,5.8
2000,4.7,14.2,16.5,7.7
2001,4.5,12.7,16.9,6.8
2002,5.0,13.5,16.9,7.4
2003,3.6,14.6,19.1,6.2
2004,3.6,12.9,17.5,5.9
2005,3.3,13.9,17.3,7.1
2006,1.8,13.5,19.2,8.9
2007,6.2,15.5,16.0,5.9
2008,5.1,13.9,16.4,5.7
2009,2.5,14.3,18.1,6.9
2010,2.1,12.8,17.3,4.5
2011,4.6,15.3,17.1,7.8
2012,4.0,13.1,17.2,6.8
2013,1.4,12.3,18.1,7.2
2014,6.1,14.2,17.4,7.9
2015,3.5,13.3,18.1,8.6
2016,4.0,13.1,18.5,5.7
