year,annual-hydric-deficit
1987,-33
1988,-183
1989,-237
1990,-506
1991,-244
1992,-548
1993,-610
1994,-434
1995,-51
1996,176
1997,113
1998,-87
1999,-72
2000,-45
2001,112
2002,-132
2003,-332
2004,-256
2005,-65
2006,-196
2007,-95
2008,-59
2009,-24
2010,204
2011,-143
2012,-213
2013,-160
2014,-9
2015,-411
2016,-130
