year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,43,6,-151,69
1988,75,-160,-96,-2
1989,-54,10,-129,-65
1990,-98,-151,-225,-32
1991,-41,-100,-226,123
1992,4,-248,-323,19
1993,-58,-274,-254,-23
1994,-43,-153,-221,-17
1995,-7,6,-71,21
1996,44,34,14,84
1997,-16,-81,141,69
1998,-52,-60,-23,47
1999,-35,13,-106,57
2000,11,-152,20,77
2001,45,-54,111,11
2002,-32,-63,-93,57
2003,-32,-223,-165,89
2004,43,-121,-216,39
2005,2,-119,-2,54
2006,70,-54,-187,-25
2007,42,-204,6,61
2008,-25,-83,39,9
2009,74,-49,-149,100
2010,11,120,33,39
2011,-39,-51,-30,-23
2012,-9,-142,-130,68
2013,25,-15,-144,-25
2014,-43,-56,70,20
2015,12,-132,-277,-15
2016,25,-144,-95,85
