year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,99,289,180,150
1988,166,151,226,82
1989,49,306,175,31
1990,30,151,105,60
1991,34,181,94,204
1992,91,86,84,103
1993,27,63,78,55
1994,51,160,128,62
1995,85,275,245,90
1996,96,311,269,163
1997,62,203,426,151
1998,53,253,283,122
1999,55,311,199,126
2000,89,180,294,170
2001,112,214,379,74
2002,66,232,192,128
2003,36,111,176,159
2004,123,168,108,123
2005,76,177,286,123
2006,125,235,134,63
2007,128,128,322,125
2008,73,205,326,89
2009,136,241,169,173
2010,89,380,319,111
2011,46,245,261,56
2012,81,184,196,141
2013,87,249,180,62
2014,63,233,356,99
2015,102,165,102,69
2016,112,162,220,153
