year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,5.9,14.4,20.4,10.7
1988,7.8,14.7,19.0,10.1
1989,7.9,15.3,19.7,11.9
1990,9.7,15.1,20.6,9.3
1991,7.5,13.1,20.8,8.9
1992,6.2,14.7,20.0,9.4
1993,6.3,15.2,18.3,9.8
1994,8.4,14.5,20.1,11.4
1995,7.8,14.8,19.8,11.5
1996,7.6,15.4,18.6,9.9
1997,9.3,15.9,20.4,11.4
1998,8.8,15.0,19.8,9.2
1999,7.4,15.9,20.6,9.3
2000,7.6,15.8,19.4,10.8
2001,8.9,14.8,19.2,9.1
2002,8.8,14.9,18.4,11.5
2003,7.4,17.0,22.0,10.3
2004,7.2,15.3,20.2,10.1
2005,5.9,16.3,19.5,9.1
2006,6.7,16.3,20.9,11.5
2007,8.1,16.1,18.6,8.8
2008,8.5,15.2,18.8,9.2
2009,6.8,15.8,20.5,11.0
2010,6.2,14.9,19.9,9.0
2011,7.8,17.0,20.1,11.8
2012,6.4,15.5,20.1,11.0
2013,6.7,13.5,20.6,10.0
2014,8.2,15.8,19.2,11.3
2015,6.8,16.6,19.5,11.0
2016,8.3,15.2,20.4,9.9
