year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,1819,13,-217,1
1988,1806,13,-49,0
1989,1757,13,-202,0
1990,1936,12,-184,0
1991,1801,13,-304,0
1992,1820,11,-150,0
1993,1725,12,-225,0
1994,1761,13,-177,2
1995,1737,13,-73,4
1996,1788,13,-217,1
1997,1812,11,-226,0
1998,1904,11,-179,0
1999,1804,13,-244,1
2000,1743,13,-197,0
2001,1928,13,-141,2
2002,1658,13,-36,3
2003,1871,14,-230,0
2004,1856,12,-264,4
2005,2059,13,-183,0
2006,1870,11,-311,3
2007,1934,14,-307,1
2008,1726,13,-252,0
2009,1900,12,-328,0
2010,1890,12,-292,1
2011,1807,12,-262,0
2012,1671,11,-167,0
2013,1712,12,-137,2
2014,1734,12,-220,0
2015,1725,11,-144,0
2016,1725,13,-169,3
2016
2017,2201,14,-348,0
2018,2232,16,-327,0
2019,2171,14,-390,0
2020,2073,14,-408,0
2021,2056,14,-488,0
2022,2097,14,-352,0
2023,1963,13,-476,2
2024,2098,14,-258,0
2025,1817,12,-261,0
2026,2063,12,-402,0
2027,2025,14,-403,1
2028,2107,15,-378,0
2029,2130,13,-573,0
2030,2029,14,-422,0
2031,2195,15,-263,0
2032,2055,15,-300,1
2033,2081,15,-351,0
2034,2059,15,-293,0
2035,1979,13,-391,0
2036,2093,14,-330,0
2037,2136,13,-363,0
2038,2071,14,-425,1
2039,1963,13,-358,0
2040,1965,14,-248,0
2041,2214,13,-298,0
2042,2091,14,-274,2
2043,2033,14,-246,1
2044,2102,14,-356,0
2045,1907,13,-148,0
2046,2025,13,-265,0

min,1200,8,,0
max,2700,18,,8
steps,11,11,,9
decimal



