year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,175,-37,-164,173
1988,360,197,-103,6
1989,59,110,-123,38
1990,77,82,-171,297
1991,66,31,-87,205
1992,-29,56,-225,188
1993,-96,62,-18,111
1994,151,-10,-125,209
1995,219,-179,-162,93
1996,204,-87,-26,257
1997,15,-54,-67,309
1998,10,51,-43,182
1999,204,-20,-37,196
2000,75,13,-150,351
2001,198,-31,-175,25
2002,49,-34,-111,307
2003,131,-112,-196,229
2004,144,-31,-193,141
2005,18,-68,-62,234
2006,165,-148,-86,110
2007,148,48,-127,50
2008,230,89,-133,243
2009,172,37,-210,310
2010,140,-6,-181,307
2011,44,-35,-84,189
2012,-12,48,-177,277
2013,275,88,-101,184
2014,291,-50,-84,117
2015,196,-161,-82,53
2016,241,-119,-116,57
