year,annual-frozen-days
1987,39
1988,34
1989,35
1990,28
1991,39
1992,33
1993,44
1994,15
1995,25
1996,28
1997,20
1998,33
1999,30
2000,34
2001,34
2002,12
2003,30
2004,37
2005,72
2006,48
2007,34
2008,28
2009,35
2010,53
2011,25
2012,42
2013,44
2014,21
2015,47
2016,31
