year,F1,F3,M4
,label F1,label F3,label M4
1987,35,116,2
1988,28,116,3
1989,48,126,3
1990,45,114,3
1991,39,106,3
1992,38,105,3
1993,39,109,5
1994,40,111,3
1995,35,118,5
1996,18,117,6
1997,33,110,6
1998,33,116,4
1999,42,108,4
2000,38,99,4
2001,26,109,3
2002,40,117,3
2003,42,103,3
2004,30,110,0
2005,40,105,3
2006,30,115,4
2007,38,111,3
2008,26,118,4
2009,42,112,3
2010,22,114,6
2011,38,112,2
2012,42,113,1
2013,42,101,3
2014,34,123,2
2015,33,116,1
2016,42,103,5
2016
2017,16,107,8
2018,32,97,5
2019,47,123,5
2020,41,107,4
2021,26,91,7
2022,30,101,5
2023,20,114,5
2024,29,101,6
2025,35,103,6
2026,26,92,5
2027,29,103,5
2028,38,98,6
2029,20,108,5
2030,38,105,5
2031,22,115,4
2032,23,109,6
2033,23,97,6
2034,33,105,7
2035,41,113,5
2036,32,98,5
2037,28,109,4
2038,23,101,5
2039,18,111,5
2040,19,109,6
2041,29,105,3
2042,37,114,6
2043,24,103,5
2044,20,100,6
2045,31,101,4
2046,19,112,4
