year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,5.3,15.0,21.4,10.8
1988,8.2,15.9,19.9,10.3
1989,8.3,16.0,21.1,12.2
1990,9.5,16.0,21.8,9.5
1991,7.5,14.1,22.2,9.0
1992,7.1,15.6,20.9,10.2
1993,7.3,15.9,19.2,9.6
1994,8.5,15.3,21.3,11.7
1995,8.0,15.6,20.4,11.6
1996,8.0,16.0,19.1,9.8
1997,9.1,16.3,21.2,11.3
1998,8.9,15.8,20.7,8.5
1999,7.7,16.5,21.7,9.4
2000,7.7,16.7,20.8,11.4
2001,9.3,15.6,19.9,9.3
2002,8.9,15.8,19.3,11.6
2003,7.3,17.9,22.8,10.4
2004,7.0,16.1,21.0,10.0
2005,6.2,17.2,20.8,9.4
2006,6.9,17.0,22.2,11.4
2007,8.5,17.1,19.6,8.7
2008,8.6,16.0,19.8,9.4
2009,6.9,16.9,21.7,11.0
2010,6.2,15.7,20.6,8.7
2011,7.8,17.7,21.4,12.2
2012,6.3,16.3,21.2,11.1
2013,6.4,14.0,21.5,9.8
2014,8.6,16.5,20.3,11.4
2015,6.9,17.1,20.7,10.6
2016,8.3,15.5,21.2,10.1
