year,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
1987,447,444,-82,-224,58,1.5,1918,0,12.0,183
1988,517,456,-20,-161,55,2.2,1965,4,12.3,185
1989,521,461,-27,-147,91,2.4,2140,22,14.6,192
1990,528,452,-3,-124,67,2.8,2032,4,13.5,198
1991,501,563,-210,-274,31,3.3,2224,9,13.3,174
1992,529,460,-9,-178,111,2.5,1969,3,11.9,191
1993,464,523,-222,-278,58,3.0,1978,0,12.4,183
1994,568,536,-108,-261,57,2.5,2069,0,12.5,180
1995,704,446,179,-53,148,3.0,2128,0,12.5,163
1996,503,575,-219,-270,27,2.7,1960,4,12.9,182
1997,551,555,-130,-208,41,1.9,1950,5,12.9,198
1998,573,453,36,-112,98,2.3,2039,7,13.5,191
1999,636,598,-129,-194,41,3.5,2234,8,14.2,178
2000,697,549,27,-155,120,2.9,2057,2,11.0,167
2001,430,467,-116,-237,63,3.1,2205,11,14.2,184
2002,480,453,-61,-166,59,2.9,2031,0,11.5,174
2003,463,437,-51,-226,106,1.7,1851,2,12.5,196
2004,504,492,-82,-210,56,2.3,2211,5,14.3,182
2005,572,442,43,-132,105,2.4,1852,2,11.3,185
2006,620,457,76,-103,132,2.9,2127,2,13.5,184
2007,566,507,-29,-233,137,3.3,2251,15,13.1,180
2008,524,470,-36,-131,42,3.2,2176,6,12.7,174
2009,623,430,113,-43,90,2.9,1975,3,13.2,178
2010,522,469,-37,-170,85,3.7,2144,4,12.3,174
2011,740,440,225,-10,159,2.1,2028,6,12.3,189
2012,571,486,-17,-164,100,4.5,2268,4,11.8,150
2013,527,463,-16,-171,121,2.8,2083,6,12.4,173
2014,629,466,83,-97,94,2.6,2066,8,12.3,191
2015,587,471,18,-115,90,3.7,2164,8,12.3,172
2016,494,448,-38,-185,84,2.0,2130,5,12.9,169
2016
2017,500,463,-50,-179,85,3.6,2201,2,13.8,178
2018,583,463,19,-152,137,5.7,2464,1,12.6,126
2019,607,450,60,-70,106,4.5,2411,2,13.6,136
2020,706,459,140,-90,132,4.9,2480,1,12.7,137
2021,502,580,-229,-298,8,4.6,2373,4,13.7,153
2022,715,485,136,-78,147,5.2,2521,16,15.4,153
2023,534,653,-295,-366,54,4.4,2532,8,15.7,170
2024,571,610,-179,-261,36,4.6,2539,11,14.7,156
2025,519,485,-70,-165,86,5.1,2565,4,14.1,150
2026,665,587,-79,-163,65,4.6,2439,10,13.9,171
2027,712,552,-11,-128,96,4.7,2463,3,13.1,142
2028,667,462,117,-52,125,3.6,2248,4,12.4,154
2029,618,635,-205,-284,44,5.0,2476,2,13.3,135
2030,586,591,-141,-217,71,4.0,2246,9,12.4,180
2031,568,430,44,-118,111,4.0,2215,5,12.8,165
2032,591,460,36,-152,105,4.6,2400,2,13.9,145
2033,450,481,-124,-223,57,4.8,2437,1,14.2,157
2034,523,481,-65,-166,54,4.2,2388,4,13.9,149
2035,518,501,-81,-169,48,4.7,2379,6,14.4,166
2036,630,471,59,-119,140,5.1,2443,3,13.9,134
2037,611,522,-5,-185,143,5.6,2636,7,15.8,148
2038,600,475,25,-135,90,3.8,2350,6,14.7,159
2039,687,476,119,-46,123,4.8,2414,5,14.3,158
2040,601,459,43,-100,62,4.8,2392,3,13.7,139
2041,658,459,105,-91,128,4.1,2257,0,13.4,169
2042,528,477,-47,-115,86,4.9,2467,2,14.3,151
2043,699,470,139,-21,122,4.8,2448,5,14.3,149
2044,739,454,192,-9,136,4.4,2480,2,14.6,149
2045,610,458,56,-90,133,4.0,2295,3,12.6,151
2046,575,492,-10,-156,97,4.9,2542,13,14.0,148

min,300,300,,,,-2,1500,,8,120
max,900,700,,,,6,3000,,16,260
steps,7,9,,,,9,6,,9,8
decimal,,,,,,1,,,1
