year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,12,-126,-48,28
1988,54,-170,-36,44
1989,30,-175,-91,67
1990,62,-185,-50,86
1991,63,-110,-160,25
1992,118,-179,-68,68
1993,39,-153,-25,40
1994,61,-124,-71,106
1995,116,23,-64,75
1996,33,-76,-95,175
1997,72,-130,-30,98
1998,106,-38,70,106
1999,62,-129,-98,201
2000,135,-108,55,188
2001,88,-111,2,107
2002,122,-123,-111,72
2003,38,-66,-86,155
2004,56,-138,159,125
2005,69,-101,47,120
2006,73,-77,-115,291
2007,90,-138,59,171
2008,129,-99,64,223
2009,36,-144,-58,103
2010,42,-100,13,83
2011,59,-92,3,107
2012,27,-56,42,223
2013,26,-94,-60,169
2014,11,-152,82,175
2015,81,-14,25,139
2016,57,-61,26,61
