year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,32,74,145,60
1988,78,63,177,72
1989,60,61,127,92
1990,95,49,149,110
1991,93,92,84,53
1992,181,85,145,113
1993,105,79,174,94
1994,84,125,183,138
1995,158,226,159,119
1996,63,125,125,219
1997,121,90,224,139
1998,145,163,263,137
1999,91,93,112,231
2000,162,105,241,220
2001,114,98,217,132
2002,153,134,123,97
2003,71,153,144,181
2004,86,93,350,148
2005,99,129,267,153
2006,98,162,142,320
2007,120,108,258,199
2008,163,138,257,252
2009,60,91,152,129
2010,64,119,235,105
2011,89,139,213,141
2012,60,151,231,250
2013,59,143,149,198
2014,53,78,314,204
2015,122,183,228,169
2016,88,161,214,86
