year,A1,A2,A3
,label A1,label A2,label A3
1987,0,5268,2
1988,0,5006,8
1989,18,5216,103
1990,0,4954,9
1991,4,4863,40
1992,1,4957,11
1993,0,4802,3
1994,0,4965,3
1995,0,4811,3
1996,0,4922,14
1997,0,5304,11
1998,3,5147,18
1999,7,4833,41
2000,0,4781,3
2001,3,4985,34
2002,0,4803,0
2003,1,5220,8
2004,0,5282,22
2005,0,4859,3
2006,2,4875,13
2007,5,4822,38
2008,0,4773,10
2009,4,4864,22
2010,2,4552,9
2011,0,5033,9
2012,2,4217,15
2013,4,4929,29
2014,2,5000,22
2015,4,4647,31
2016,4,5252,21
2016
2017,0,4626,7
2018,0,3859,10
2019,0,4278,6
2020,0,4064,1
2021,0,4299,8
2022,7,4270,58
2023,0,4593,20
2024,1,4462,28
2025,0,4197,15
2026,1,4452,31
2027,0,4269,14
2028,0,4526,11
2029,0,4215,8
2030,0,4534,24
2031,0,4416,12
2032,1,4330,8
2033,0,4314,0
2034,0,4470,10
2035,2,4370,19
2036,1,4066,9
2037,0,4149,35
2038,0,4593,16
2039,1,4330,18
2040,0,4148,9
2041,0,4440,2
2042,0,4218,6
2043,3,4267,30
2044,2,4422,23
2045,1,4379,14
2046,8,4263,53

min,,3300
max,,6600
steps,,7
decimal
