year,annual-hydric-deficit
1987,-135
1988,-108
1989,-169
1990,-88
1991,-182
1992,-60
1993,-99
1994,-28
1995,150
1996,38
1997,10
1998,244
1999,35
2000,271
2001,86
2002,-40
2003,41
2004,203
2005,135
2006,172
2007,182
2008,317
2009,-64
2010,39
2011,76
2012,235
2013,41
2014,115
2015,230
2016,83
