year,annual-estival-days
1987,5
1988,2
1989,19
1990,12
1991,13
1992,15
1993,2
1994,26
1995,29
1996,19
1997,31
1998,6
1999,23
2000,8
2001,9
2002,21
2003,25
2004,18
2005,27
2006,41
2007,19
2008,21
2009,22
2010,20
2011,13
2012,7
2013,16
2014,31
2015,17
2016,24
