year,annual-frozen-days
1987,88
1988,53
1989,37
1990,37
1991,60
1992,32
1993,70
1994,39
1995,76
1996,126
1997,89
1998,48
1999,55
2000,28
2001,73
2002,49
2003,71
2004,83
2005,77
2006,67
2007,37
2008,50
2009,63
2010,115
2011,66
2012,61
2013,84
2014,41
2015,42
2016,66
