year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,84,75,80,196
1988,307,-102,93,201
1989,108,-103,57,168
1990,166,-58,144,175
1991,123,-19,-35,188
1992,127,-190,-11,291
1993,132,-155,101,242
1994,225,-67,34,218
1995,149,-135,-140,0
1996,-4,-147,-102,135
1997,38,-50,-3,108
1998,161,54,54,266
1999,198,-90,-45,254
2000,175,-84,-75,153
2001,98,-94,120,169
2002,213,-34,82,195
2003,35,-19,-148,177
2004,169,-68,35,100
2005,89,-140,-67,146
2006,56,-146,-58,166
2007,168,-88,68,104
2008,139,-223,78,160
2009,60,-166,-70,217
2010,87,-103,-3,198
2011,48,-144,215,174
2012,64,-42,43,180
2013,53,-54,-109,185
2014,70,-71,-97,224
2015,171,-119,-5,227
2016,128,-86,-56,102
