year,F1,F3,M4
,label F1,label F3,label M4
1987,37,126,5
1988,49,119,5
1989,43,120,7
1990,40,128,12
1991,55,133,7
1992,58,119,5
1993,61,131,8
1994,57,125,6
1995,42,121,5
1996,37,114,3
1997,63,130,5
1998,41,120,7
1999,54,118,6
2000,52,128,7
2001,60,129,5
2002,47,122,5
2003,52,129,3
2004,53,128,8
2005,35,124,4
2006,36,108,8
2007,48,122,6
2008,23,127,6
2009,45,130,7
2010,43,123,5
2011,58,131,4
2012,49,121,9
2013,35,112,5
2014,61,135,6
2015,25,128,4
2016,49,118,7
2016
2017,52,127,6
2018,37,119,9
2019,43,128,7
2020,53,135,7
2021,57,119,4
2022,28,124,6
2023,24,119,7
2024,46,131,5
2025,27,132,8
2026,48,130,6
2027,50,125,7
2028,40,112,6
2029,61,127,8
2030,47,126,7
2031,40,116,8
2032,39,117,8
2033,57,126,8
2034,39,125,9
2035,32,110,9
2036,30,118,8
2037,56,118,9
2038,27,113,8
2039,36,115,8
2040,39,119,9
2041,36,128,8
2042,47,120,8
2043,36,107,7
2044,47,112,7
2045,30,130,7
2046,51,124,5
