year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,5.0,15.3,22.2,10.7
1988,7.7,15.9,21.4,10.3
1989,8.5,16.4,22.5,10.6
1990,9.2,16.5,22.2,9.6
1991,7.3,15.2,23.4,9.1
1992,7.5,16.2,21.8,10.6
1993,7.2,16.7,20.9,9.4
1994,8.6,15.8,22.3,11.5
1995,7.6,15.6,21.3,11.0
1996,7.4,16.2,19.7,10.2
1997,8.8,16.3,21.6,11.1
1998,8.1,16.5,22.2,8.9
1999,7.6,17.1,22.6,9.5
2000,7.3,16.7,21.0,10.3
2001,9.0,16.9,21.5,9.2
2002,8.3,17.0,21.0,11.1
2003,6.3,18.9,23.6,10.0
2004,6.4,16.6,22.1,9.9
2005,5.9,17.7,21.7,8.8
2006,6.0,17.7,23.1,11.3
2007,8.3,18.0,20.9,9.1
2008,8.1,16.8,20.9,9.2
2009,6.5,17.8,22.9,10.3
2010,5.2,16.2,21.9,8.9
2011,7.3,18.0,21.6,11.2
2012,6.8,17.1,22.4,10.5
2013,5.7,15.2,21.7,10.6
2014,8.5,17.1,21.0,12.1
2015,7.2,17.6,22.0,11.1
2016,7.8,16.4,22.3,9.9
