year,annual-precipitations
1987,1172
1988,960
1989,444
1990,583
1991,500
1992,373
1993,414
1994,872
1995,700
1996,869
1997,524
1998,542
1999,799
2000,745
2001,542
2002,936
2003,636
2004,451
2005,511
2006,513
2007,364
2008,907
2009,678
2010,654
2011,577
2012,723
2013,723
2014,936
2015,597
2016,591
