year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,1800,12,-383,1
1988,1790,12,-478,3
1989,1803,10,-587,3
1990,1843,12,-697,1
1991,1667,10,-704,0
1992,1847,13,-520,0
1993,1738,13,-613,3
1994,1850,13,-597,0
1995,1961,12,-406,1
1996,1668,9,-588,1
1997,1712,10,-546,0
1998,2003,13,-597,2
1999,2015,10,-509,0
2000,1742,11,-534,2
2001,1835,8,-508,5
2002,1790,11,-479,0
2003,1894,14,-404,1
2004,1881,14,-490,0
2005,1671,11,-402,1
2006,1934,12,-634,0
2007,1984,12,-638,2
2008,1923,11,-629,2
2009,1639,11,-580,11
2010,1850,12,-481,0
2011,1648,11,-386,4
2012,1909,11,-662,0
2013,2170,14,-558,0
2014,1864,12,-556,3
2015,1585,10,-586,0
2016,1734,13,-529,2
2016
2017,1973,12,-552,2
2018,2073,15,-713,0
2019,2152,15,-420,0
2020,2185,13,-583,0
2021,2017,11,-561,0
2022,2301,16,-649,0
2023,2247,14,-497,0
2024,1959,14,-294,8
2025,2033,12,-647,1
2026,1909,12,-571,4
2027,2000,15,-541,0
2028,2182,13,-596,0
2029,2060,14,-524,0
2030,1939,14,-525,0
2031,2047,14,-547,0
2032,2398,14,-567,0
2033,1994,14,-523,5
2034,2196,13,-549,1
2035,2234,12,-689,0
2036,2120,14,-604,0
2037,2027,12,-689,1
2038,2006,13,-519,0
2039,2180,13,-743,0
2040,2128,12,-685,1
2041,1959,11,-705,2
2042,2143,13,-640,0
2043,2151,12,-587,0
2044,2251,14,-443,0
2045,1930,12,-516,2
2046,2019,13,-518,3

min,1200,7,,0
max,2700,17,,12
steps,11,11,,8
decimal

,,,,0
,,,,11
