year,annual-hydric-deficit
1987,36
1988,-187
1989,-875
1990,-565
1991,-643
1992,-738
1993,-741
1994,-274
1995,-444
1996,-272
1997,-652
1998,-707
1999,-397
2000,-418
2001,-566
2002,-145
2003,-535
2004,-678
2005,-640
2006,-747
2007,-860
2008,-217
2009,-593
2010,-531
2011,-614
2012,-537
2013,-340
2014,-158
2015,-547
2016,-535
