year,A1,A2,A3
,label A1,label A2,label A3
1987,39,2484,282
1988,19,2304,218
1989,33,2182,248
1990,30,2416,251
1991,8,2437,130
1992,35,2334,269
1993,18,2291,189
1994,18,2529,257
1995,48,2493,403
1996,20,2351,186
1997,12,2585,182
1998,42,2311,349
1999,36,2260,313
2000,40,2587,258
2001,46,2448,331
2002,32,2364,274
2003,40,2533,316
2004,29,2317,272
2005,24,2255,212
2006,40,2083,286
2007,34,2390,294
2008,27,2412,248
2009,28,2486,223
2010,25,2278,232
2011,21,2505,208
2012,37,2255,320
2013,42,2096,349
2014,32,2478,256
2015,9,2394,154
2016,18,2295,211
2016
2017,54,2215,385
2018,50,2242,422
2019,55,2230,431
2020,70,2459,542
2021,41,2328,359
2022,68,2134,483
2023,65,1981,527
2024,43,2516,385
2025,55,2326,397
2026,47,2163,357
2027,35,2093,368
2028,58,1932,416
2029,49,2299,377
2030,29,2147,315
2031,67,2279,410
2032,83,2030,567
2033,39,2371,326
2034,68,2327,517
2035,68,1999,479
2036,58,1918,409
2037,60,2199,395
2038,41,1795,352
2039,47,1948,348
2040,65,2175,465
2041,53,2248,393
2042,62,2266,461
2043,59,1998,370
2044,59,1861,456
2045,63,2261,465
2046,49,2227,367

min,,1500
max,,2850
steps,,10
decimal



