year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,160,-248,-163,287
1988,14,-105,-361,266
1989,-64,-336,-459,-15
1990,-59,-214,-401,109
1991,2,-308,-371,34
1992,-92,-226,-367,-54
1993,-110,-209,-413,-8
1994,-7,-237,-163,132
1995,-61,-237,-264,117
1996,160,-282,-267,117
1997,-62,-263,-300,-27
1998,-95,-143,-394,-75
1999,-6,-262,-255,125
2000,-117,-225,-292,216
2001,48,-264,-345,-6
2002,-28,-227,-102,212
2003,-36,-355,-338,193
2004,-85,-323,-317,47
2005,-124,-226,-343,53
2006,-9,-427,-306,-6
2007,-71,-254,-421,-114
2008,-37,-167,-242,229
2009,-77,-253,-364,101
2010,81,-258,-400,46
2011,-39,-333,-296,55
2012,-166,-198,-289,116
2013,9,-179,-244,74
2014,184,-292,-246,195
2015,58,-369,-367,130
2016,-2,-317,-414,198
