year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,136,-146,-239,187
1988,128,90,-223,-51
1989,-90,-241,-259,5
1990,-101,-135,-442,117
1991,40,-26,-279,82
1992,-11,24,-159,273
1993,-30,-19,-151,167
1994,-98,-249,-239,20
1995,114,-222,-270,9
1996,64,-176,-148,242
1997,0,-90,-95,178
1998,17,-79,-171,144
1999,113,-178,-155,126
2000,-9,-121,-208,165
2001,107,-233,-192,58
2002,-21,-104,-203,177
2003,158,-193,-281,160
2004,200,-210,-138,136
2005,94,-133,-305,237
2006,70,-189,-245,40
2007,155,-145,-314,24
2008,91,57,-312,210
2009,129,-229,-294,103
2010,8,-178,-328,113
2011,10,-212,-296,18
2012,-18,-171,-307,99
2013,416,-43,-309,107
2014,203,-214,-237,125
2015,322,-235,-280,24
2016,267,-170,-324,28
