year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,229,137,79,290
1988,243,333,88,50
1989,27,51,87,140
1990,66,247,58,236
1991,172,300,131,201
1992,96,311,169,354
1993,79,275,173,264
1994,44,98,146,140
1995,250,98,102,154
1996,187,136,159,333
1997,127,206,201,288
1998,137,192,141,221
1999,209,115,169,215
2000,93,167,109,272
2001,240,76,128,156
2002,107,182,98,287
2003,274,136,84,249
2004,293,94,197,234
2005,197,197,45,335
2006,179,126,81,150
2007,280,175,66,133
2008,209,339,36,300
2009,260,116,99,221
2010,132,136,41,223
2011,130,113,57,134
2012,100,140,65,202
2013,528,220,66,228
2014,341,112,111,240
2015,414,102,97,129
2016,379,120,46,123
