year,annual-hydric-deficit
1987,-61
1988,-56
1989,-585
1990,-561
1991,-182
1992,127
1993,-34
1994,-566
1995,-369
1996,-18
1997,-7
1998,-88
1999,-94
2000,-174
2001,-260
2002,-151
2003,-156
2004,-12
2005,-108
2006,-324
2007,-281
2008,46
2009,-290
2010,-385
2011,-480
2012,-396
2013,170
2014,-123
2015,-170
2016,-198
