year,annual-estival-days
1987,59
1988,41
1989,65
1990,98
1991,85
1992,52
1993,43
1994,80
1995,49
1996,50
1997,71
1998,43
1999,67
2000,68
2001,53
2002,43
2003,81
2004,65
2005,68
2006,68
2007,73
2008,60
2009,92
2010,82
2011,91
2012,84
2013,81
2014,91
2015,72
2016,81
