year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1-FGN,label C2,label C3-FGN,label C12,label M1-FGN,label M2,label M8,label Co2,label Co3
1987,2,0,-155,7,0,-377,44,11,51
1988,0,0,-171,7,2,-386,52,10,60
1989,0,1,-151,7,0,-344,42,10,50
1990,0,0,-145,8,0,-360,50,11,85
1991,1,0,-243,9,2,-436,47,2,100
1992,0,0,-220,10,0,-353,47,8,140
1993,5,0,-260,8,0,-424,43,4,53
1994,0,0,-154,7,0,-321,39,4,104
1995,0,0,-144,8,2,-387,64,7,20
1996,0,1,-204,10,0,-441,65,1,25
1997,0,0,-94,7,0,-268,55,10,107
1998,3,0,-156,7,2,-316,41,9,83
1999,0,0,-148,9,0,-391,62,4,69
2000,1,0,-259,8,0,-469,43,10,19
2001,0,0,-150,7,1,-286,57,9,39
2002,0,0,-4,8,0,-335,52,8,17
2003,0,0,-190,9,0,-432,52,9,49
2004,0,1,-145,6,0,-391,52,3,17
2005,0,0,-147,7,1,-376,58,5,51
2006,0,0,-199,9,0,-387,59,6,50
2007,1,0,-218,9,1,-400,39,6,38
2008,1,0,-173,9,0,-410,40,3,36
2009,0,0,-176,6,0,-324,49,10,25
2010,0,0,-249,8,0,-431,49,17,37
2011,0,0,-81,8,0,-379,55,6,57
2012,0,0,-175,6,1,-291,55,5,97
2013,0,0,-12,8,0,-286,52,10,74
2014,0,0,-186,7,8,-432,53,3,36
2015,3,0,-75,7,0,-348,53,12,36
2016,1,2,-161,6,1,-390,49,10,91
2016
2017,0,0,-226,10,3,-458,36,0,51
2018,1,0,-222,9,1,-401,52,1,66
2019,1,1,-195,8,0,-431,55,6,57
2020,2,0,-193,10,3,-474,48,9,87
2021,0,0,-198,10,0,-444,38,2,76
2022,8,0,-155,7,0,-406,43,1,91
2023,5,0,-258,8,4,-442,42,0,141
2024,3,0,-269,9,1,-530,41,2,37
2025,0,0,-141,9,9,-467,46,4,18
2026,6,0,-137,9,1,-487,39,4,126
2027,3,0,-306,9,0,-482,33,0,124
2028,0,0,-201,7,3,-432,42,3,45
2029,2,0,-225,8,0,-378,57,2,54
2030,2,0,-266,10,1,-480,44,1,64
2031,0,0,-145,9,0,-428,32,3,75
2032,1,0,-268,10,0,-469,34,3,31
2033,4,0,-193,9,9,-523,36,2,52
2034,3,0,-111,7,4,-367,35,7,137
2035,3,0,-163,8,0,-401,37,3,80
2036,5,0,-200,7,0,-423,35,5,74
2037,2,0,-233,10,0,-402,42,1,69
2038,1,0,-226,9,5,-460,35,8,53
2039,6,0,-270,9,4,-513,41,0,105
2040,5,0,-264,5,1,-440,43,6,101
2041,0,0,-239,8,0,-497,36,2,90
2042,0,0,-161,9,0,-356,46,2,116
2043,1,0,-124,10,0,-478,54,3,35
2044,0,0,-95,7,5,-367,46,4,107
2045,1,1,-221,9,7,-450,32,0,52
2046,3,0,-194,11,1,-448,39,0,64

min.,,,,0,,,0
max.,,,,11,,,72
steps.,,,,12,,,10
decimals
