year,annual-average-temperature
1987,11.3
1988,11.0
1989,11.9
1990,13.5
1991,12.5
1992,11.3
1993,11.2
1994,13.3
1995,12.4
1996,11.5
1997,12.9
1998,11.7
1999,11.8
2000,11.9
2001,11.8
2002,12.1
2003,12.8
2004,11.8
2005,11.4
2006,12.6
2007,12.3
2008,11.7
2009,12.9
2010,11.9
2011,12.9
2012,12.1
2013,12.1
2014,13.1
2015,12.7
2016,12.3
