year,A1,A2,A3
,label A1,label A2,label A3
1987,119,1475,1143
1988,116,1347,1057
1989,117,1478,905
1990,115,1536,951
1991,100,1439,784
1992,114,1199,899
1993,100,1368,887
1994,96,1357,862
1995,117,1331,990
1996,127,1368,1062
1997,121,1263,1026
1998,108,1116,894
1999,118,1402,951
2000,106,1337,936
2001,127,1138,1185
2002,113,1287,936
2003,119,1248,963
2004,131,1365,1110
2005,106,1345,947
2006,123,1359,972
2007,135,1007,1056
2008,127,1323,1204
2009,107,1338,848
2010,128,1502,1058
2011,122,1341,970
2012,115,1430,869
2013,95,1232,791
2014,124,1559,1115
2015,120,1346,1064
2016,128,1422,993
2016
2017,119,1462,1143
2018,116,1347,1057
2019,117,1478,905
2020,115,1519,951
2021,100,1439,784
2022,114,1199,899
2023,100,1367,887
2024,96,1354,862
2025,117,1331,990
2026,127,1364,1062
2027,121,1254,1026
2028,108,1108,894
2029,118,1400,951
2030,106,1337,936
2031,127,1128,1185
2032,113,1287,936
2033,119,1248,963
2034,131,1360,1110
2035,106,1333,947
2036,123,1339,972
2037,135,1007,1056
2038,127,1323,1204
2039,107,1328,848
2040,128,1490,1058
2041,122,1320,970
2042,115,1417,869
2043,95,1183,791
2044,124,1559,1115
2045,120,1346,1064
2046,128,1411,993
