year,annual-hydric-deficit
1987,-706
1988,-786
1989,-616
1990,-780
1991,-765
1992,-835
1993,-723
1994,-738
1995,-824
1996,-455
1997,-284
1998,-874
1999,-832
2000,-672
2001,-721
2002,-781
2003,-716
2004,-872
2005,-1050
2006,-778
2007,-688
2008,-688
2009,-963
2010,-319
2011,-749
2012,-978
2013,-646
2014,-692
2015,-1088
2016,-696
