year,annual-precipitations
1987,614
1988,459
1989,753
1990,423
1991,409
1992,466
1993,446
1994,397
1995,514
1996,779
1997,946
1998,390
1999,465
2000,562
2001,570
2002,536
2003,530
2004,435
2005,364
2006,577
2007,491
2008,501
2009,437
2010,905
2011,511
2012,370
2013,631
2014,623
2015,315
2016,613
