year,annual-estival-days
1987,134
1988,117
1989,145
1990,119
1991,133
1992,133
1993,99
1994,122
1995,169
1996,128
1997,146
1998,127
1999,137
2000,136
2001,135
2002,135
2003,145
2004,144
2005,147
2006,148
2007,129
2008,130
2009,160
2010,131
2011,166
2012,140
2013,138
2014,155
2015,149
2016,138

min,80
max,180
steps,11
decimal
