year,annual-frozen-days
1987,138
1988,151
1989,86
1990,76
1991,117
1992,116
1993,128
1994,124
1995,133
1996,146
1997,129
1998,108
1999,127
2000,94
2001,133
2002,106
2003,124
2004,115
2005,127
2006,108
2007,91
2008,77
2009,113
2010,127
2011,104
2012,106
2013,113
2014,94
2015,79
2016,98
