year,annual-precipitations
1987,710
1988,574
1989,593
1990,887
1991,653
1992,743
1993,853
1994,782
1995,573
1996,555
1997,655
1998,784
1999,490
2000,569
2001,744
2002,657
2003,543
2004,647
2005,643
2006,627
2007,706
2008,642
2009,718
2010,787
2011,659
2012,766
2013,682
2014,586
2015,544
2016,851
