year,F1,F3,M4
,label F1,label F3,label M4
1987,103,148,3
1988,102,158,5
1989,122,170,3
1990,106,151,2
1991,102,153,3
1992,104,161,2
1993,113,160,1
1994,91,151,0
1995,122,159,2
1996,115,167,3
1997,99,147,5
1998,104,147,2
1999,123,171,1
2000,92,147,2
2001,83,138,4
2002,109,159,2
2003,105,159,2
2004,115,162,5
2005,94,147,0
2006,102,156,1
2007,110,154,3
2008,108,161,2
2009,90,149,1
2010,97,151,3
2011,101,148,1
2012,106,158,1
2013,107,159,3
2014,102,153,1
2015,108,154,3
2016,102,146,2
2016
2017,95,141,1
2018,110,159,2
2019,109,160,3
2020,94,149,1
2021,107,157,1
2022,101,149,2
2023,102,147,4
2024,111,158,1
2025,115,157,3
2026,99,150,0
2027,81,141,2
2028,95,145,1
2029,106,148,1
2030,94,146,2
2031,108,151,3
2032,9,146,3
2033,109,157,4
2034,112,157,2
2035,100,146,1
2036,102,158,1
2037,104,155,1
2038,30,147,1
2039,73,154,1
2040,87,137,2
2041,90,136,1
2042,38,148,0
2043,118,153,2
2044,95,142,0
2045,112,160,3
2046,117,157,1

min,,29-Apr
max,,28-Jun
steps,,4
decimal
