year,winter-soft-wheat,spring-soft-wheat,rye,spring-barley,spring-oat,triticale,buckwheat,winter-rapeseed,spring-rapeseed,spring-field-bean,spring-field-peas,potatoes,sugar-beet,maize-silage
,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha
2000,30,21,19,20,17,25,7,22,18,,,148,294,273.7
2001,32,27,19,23,19,26,8,35,15,,,87,440,322.3
2002,30,26,21,23,19,23,6,24,21,,,143,459,242.9
2003,31,29,25,27,23,27,10,17,24,19,22,155,551,297.6
2004,35,27,21,26,22,26,6,36,20,43,24,112,380,185
2005,32,23,17,19,18,20,5,30,15,27,16,93,418,281.9
2006,23,17,13,15,11,17,3,12,12,12,9,75,411,201.6
2007,32,22,18,23,17,24,10,26,18,20,9,112,415,295
2008,35,21,25,23,24,24,10,33,18,16,18,142,475,214.5
2009,38,26,21,24,19,25,7,27,14,24,14,141,450,172.1
2010,26,16,15,15,14,17,6,18,11,15,11,131,479,304.5
2011,32,26,16,21,18,21,9,19,17,31,10,124,502,316.1
2012,46,28,24,29,21,28,8,27,18,18,15,189,492,290.9
2013,42,36,16,23,18,21,9,25,16,28,13,144,486,251.6
2014,42,32,20,31,22,28,8,28,16,36,20,165,483,277.3
2015,42,30,23,26,21,28,8,30,17,24,14,100,,197.5
2016,26,29,20,24,19,20,11,15,14,31,19,143,,305.3
2017,39,25,20,24,28,28,12,33,18,27,21,57,,175.4
