year,annual-hydric-deficit
1987,117
1988,-59
1989,-57
1990,230
1991,2
1992,53
1993,218
1994,124
1995,-2
1996,-2
1997,83
1998,238
1999,-115
2000,-42
2001,125
2002,-90
2003,-128
2004,32
2005,0
2006,-46
2007,30
2008,-15
2009,80
2010,155
2011,4
2012,137
2013,47
2014,-81
2015,-157
2016,216
