year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,-73,-485,-550,82
1988,-130,-100,-521,-38
1989,-56,-206,-339,8
1990,-117,-307,-487,-85
1991,-23,-330,-461,-52
1992,-90,-172,-493,-27
1993,-30,-273,-396,0
1994,-172,-417,-493,-81
1995,-176,-401,-419,-45
1996,-60,-359,-276,25
1997,-100,-226,-284,-24
1998,-105,-196,-468,-85
1999,-63,-395,-448,-67
2000,-164,-350,-521,-91
2001,-148,-377,-456,-43
2002,-109,-244,-432,-47
2003,-56,-361,-476,-22
2004,-29,-190,-499,-103
2005,-131,-412,-441,-47
2006,-123,-363,-530,-90
2007,-114,-336,-481,-94
2008,-114,-212,-421,33
2009,-64,-439,-498,-78
2010,-63,-320,-429,-28
2011,-91,-354,-480,-50
2012,-106,-368,-457,78
2013,-33,-350,-516,-106
2014,-122,-418,-542,-48
2015,-13,-376,-416,-62
2016,-114,-356,-537,44
