year,annual-average-temperature
1987,15.5
1988,14.5
1989,15.0
1990,15.3
1991,14.2
1992,14.4
1993,13.9
1994,15.5
1995,15.5
1996,14.6
1997,15.6
1998,15.0
1999,14.9
2000,15.2
2001,15.5
2002,15.2
2003,15.4
2004,15.4
2005,15.0
2006,16.2
2007,15.2
2008,15.1
2009,16.1
2010,15.0
2011,16.2
2012,15.8
2013,15.5
2014,16.6
2015,16.1
2016,16.6

min,12
max,17
steps,11
decimal,1
