year,A1,A2,A3
,label A1,label A2,label A3
1987,63,1757,468
1988,95,1934,693
1989,67,1867,499
1990,91,1816,689
1991,59,1919,514
1992,70,1726,546
1993,69,2012,532
1994,70,1520,553
1995,80,1885,582
1996,74,1974,584
1997,96,1725,652
1998,85,1701,657
1999,91,1777,622
2000,64,1783,513
2001,69,1797,588
2002,64,1925,470
2003,71,1638,548
2004,74,1712,568
2005,82,1914,652
2006,68,1857,552
2007,74,1821,618
2008,57,1676,502
2009,79,1723,606
2010,73,1810,538
2011,64,1599,464
2012,71,1702,514
2013,85,1716,617
2014,75,1741,565
2015,83,1943,576
2016,79,1668,599
2016
2017,87,1594,738
2018,90,1608,720
2019,84,1567,675
2020,100,1602,704
2021,92,1606,905
2022,92,1904,690
2023,81,1648,626
2024,87,1572,711
2025,94,1599,717
2026,94,1476,686
2027,111,1514,853
2028,90,1818,726
2029,90,1512,712
2030,99,1624,706
2031,86,1443,716
2032,86,1594,741
2033,87,1676,621
2034,95,1703,670
2035,78,1501,647
2036,103,1509,805
2037,98,1723,688
2038,78,1572,664
2039,97,1484,859
2040,120,1632,898
2041,110,1681,880
2042,93,1481,723
2043,93,1485,730
2044,88,1432,652
2045,86,1623,614
2046,107,1585,875

min,50,1500,450
max,130,2200,1150
steps,9,8,9
decimal
