year,A1,A2,A3
,label A1,label A2,label A3
1987,55,2319,355
1988,53,1974,337
1989,40,1945,287
1990,44,2166,277
1991,21,2112,177
1992,46,2080,311
1993,16,2114,166
1994,28,1930,223
1995,29,2213,178
1996,33,1937,247
1997,34,2102,283
1998,15,2023,119
1999,13,2254,120
2000,27,2067,212
2001,46,2067,293
2002,40,2112,270
2003,38,2102,278
2004,49,2252,320
2005,34,2043,260
2006,40,2151,260
2007,39,1949,238
2008,49,2168,300
2009,36,2116,244
2010,51,2078,402
2011,32,2249,226
2012,48,2226,311
2013,26,1920,181
2014,62,2075,379
2015,35,2231,211
2016,51,2063,304
2016
2017,56,1791,343
2018,62,2003,409
2019,72,1848,494
2020,58,1698,342
2021,57,1711,437
2022,73,1997,529
2023,52,2033,380
2024,58,1707,432
2025,61,1763,422
2026,63,1921,446
2027,62,1949,507
2028,54,1921,298
2029,54,1891,452
2030,37,2002,329
2031,61,2047,396
2032,82,1804,528
2033,59,1912,366
2034,52,1859,396
2035,85,1955,527
2036,55,1796,358
2037,74,1923,460
2038,66,1825,433
2039,57,1747,404
2040,56,2044,339
2041,56,1877,387
2042,76,1821,474
2043,74,1878,442
2044,60,1826,409
2045,60,1996,383
2046,63,2092,413

min,,1200
max,,2550
steps,,10
decimal



