year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,36,-143,-170,54
1988,152,54,-188,-43
1989,65,-151,-240,-17
1990,54,-137,-275,176
1991,22,-110,-166,93
1992,-30,49,-229,196
1993,-85,-79,-96,174
1994,54,-70,-210,109
1995,117,-208,-105,91
1996,55,-206,-116,125
1997,-43,-89,-130,104
1998,-29,-72,-124,120
1999,29,-90,-59,96
2000,-8,-129,-287,181
2001,80,-120,-172,-28
2002,-36,-82,-207,94
2003,17,-222,-245,105
2004,123,-167,-198,81
2005,-53,-210,-266,6
2006,57,-249,-104,4
2007,69,-97,-243,-12
2008,37,-25,-202,92
2009,-10,-113,-274,124
2010,30,-137,-249,80
2011,-5,-277,-231,19
2012,-60,-56,-311,84
2013,195,-23,-302,91
2014,139,-194,-135,29
2015,37,-224,-202,-1
2016,133,-70,-336,31
